"File","Line","Kind","Name"
"activity.lua","5","function","GAT:SortBy"
"activity.lua","24","function","GAT:CreateTable"
"activity.lua","135","function","GAT:RefreshUI"
"activity.lua","284","function","GAT:ToggleUI"
"activity.lua","289","function","GAT:DisplayName"
"activity.lua","295","local function","FormatAgo"
"activity.lua","302","function","GAT:BuildRosterStatusText"
"activity.lua","314","function","GAT:StartAutoRosterRefresh"
"activity.lua","325","function","GAT:StopAutoRosterRefresh"
"activity.lua","329","function","GAT:OnUIShown"
"activity.lua","334","function","GAT:OnUIHidden"
"activity.lua","338","function","GAT:UpdateAutoRefreshFromSettings"
"core.lua","12","function","GAT:Color"
"core.lua","18","function","GAT:Print"
"core.lua","22","function","GAT:Now"
"core.lua","26","function","GAT:IsMasterBuild"
"core.lua","30","function","GAT:IsInTargetGuild"
"core.lua","44","local function","initDB"
"core.lua","58","local function","updatePlayerNames"
"core.lua","66","local function","printGuildWarning"
"core.lua","95","assigned function","SlashCmdList[""GAT""]"
"data.lua","7","local function","getRealm"
"data.lua","14","local function","canonicalName"
"data.lua","20","local function","parseLastSeen"
"data.lua","37","local function","lastSeenText"
"data.lua","45","function","GAT:EnsureSyncDB"
"data.lua","93","function","GAT:EnsureSortDefaults"
"data.lua","105","function","GAT:UpgradeDBIfNeeded"
"data.lua","131","local function","mergeDaily"
"data.lua","140","function","GAT:MergeEntry"
"data.lua","178","function","GAT:DeletePlayer"
"data.lua","192","function","GAT:ScanRosterForRanks"
"data.lua","217","function","GAT:AddActivity"
"data.lua","256","function","GAT:GetSortedActivity"
"data.lua","276","local function","nameKey"
"data.lua","277","local function","onlineVal"
"data.lua","281","local function","cmp"
"data.lua","312","function","GAT:GetPlayerData"
"data.lua","321","function","GAT:ResetData"
"data.lua","325","function","GAT:ResetPlayer"
"data.lua","333","local function","dateKeyToTS"
"data.lua","341","function","GAT:RunAutoArchive"
"events.lua","12","local function","RequestGuildRosterRefresh"
"events.lua","28","function","GAT:RebuildOnlineCache"
"events.lua","46","function","GAT:IsOnline"
"events.lua","55","function","GAT:GetRosterLastUpdateAt"
"events.lua","64","function","GAT:RequestRosterSync"
"export.lua","5","local function","CleanCSV"
"export.lua","10","function","GAT:ShowExportWindow"
"export.lua","54","function","GAT:GenerateExportString"
"filters_ui.lua","4","function","GAT:CreateFiltersUI"
"filters_ui.lua","51","function","GAT:RefreshFiltersUI"
"graph.lua","4","function","GAT:CreateGraphUI"
"graph.lua","23","function","GAT:RefreshGraph"
"master.lua","12","local function","EnsureSyncDB"
"master.lua","18","function","GAT:IsHelpersView"
"master.lua","23","function","GAT:SetHelpersView"
"master.lua","35","local function","InstallListHook"
"master.lua","40","function","GAT:GetSortedActivity"
"master.lua","50","local function","InstallResetHook"
"master.lua","54","function","GAT:ResetPlayer"
"master.lua","64","function","GAT:InstallAdminButton"
"master.lua","90","local function","HookUI"
"master.lua","93","function","GAT:CreateMainWindow"
"master.lua","102","local function","LateInstall"
"minimap.lua","7","local function","EnsureDB"
"minimap.lua","18","local function","UpdateButtonPosition"
"minimap.lua","32","local function","CreateMinimapButton"
"options.lua","8","local function","EnsureDefaults"
"options.lua","17","function","GAT:CreateOptionsPanel"
"options.lua","96","function","GAT:OpenOptions"
"rank_presence.lua","11","local function","Trim"
"rank_presence.lua","16","local function","NormalizeKey"
"rank_presence.lua","36","local function","Color"
"rank_presence.lua","43","local function","ColorRank"
"rank_presence.lua","56","local function","ExtractPlayerName"
"rank_presence.lua","81","local function","ChatOut"
"rank_presence.lua","92","local function","FindRankByShortName"
"rank_presence.lua","125","local function","Announce"
"stats.lua","9","function","GAT:InitStats"
"stats.lua","45","function","GAT:ScheduleNextSnapshot"
"stats.lua","56","function","GAT:TakeActivitySnapshot"
"stats.lua","67","local function","SaveData"
"sync.lua","43","local function","ensureSyncDB"
"sync.lua","47","local function","now"
"sync.lua","51","local function","isInGuildScope"
"sync.lua","55","local function","safeCall"
"sync.lua","62","local function","safeSend"
"sync.lua","70","local function","pctEncode"
"sync.lua","77","local function","pctDecode"
