"File","Path","Line","Kind","Name"
"Danish.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\locales\Danish.lua","28","assigned function","GRML.Danish"
"Dutch.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\locales\Dutch.lua","28","assigned function","GRML.Dutch"
"English.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\locales\English.lua","26","assigned function","GRML.English"
"French.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\locales\French.lua","25","assigned function","GRML.French"
"German.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\locales\German.lua","28","assigned function","GRML.German"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","14","local function","NormalizeRealmName"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","19","local function","GetCurrentRealmName"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","26","local function","GetGuildStorageKey"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","42","local function","CanonicalizeName"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","71","local function","DateKeyToEpoch"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","91","local function","PruneDailyMap"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","105","local function","SumRecentValues"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","122","local function","EnsureDailyHourMarks"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","129","local function","MarkHourlyPresence"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","147","local function","CountActiveHoursInDay"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","161","local function","CalculateDailyActivityScore"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","169","local function","CalculateRecentActivityAverage"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","194","local function","EnsureMetricsDB"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","217","local function","EnsurePlayerEntry"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","244","local function","MarkMetricsDirty"
"GRM_ActivityMetrics.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_ActivityMetrics.lua","250","local function","RequestGuildRosterRefresh"
