"File","Line","Method","What","Purpose"
"GRM_AltManagement.lua","10","GRM.SetMain ( string , int )","Set the player to main by the given player name. It also removes an existing main back to alt status","Easily control for setting mains."
"GRM_AltManagement.lua","65","GRM.DemotePlayerFromMain ( string , int )","Set player to alt if they are currently set as main.","Easy control to set player to main."
"GRM_AltManagement.lua","109","GRM.GetAltGroupMain ( string , bool )","Returns the string name of the player who is listed as the main, and also the GUID if requested","Easily get the player's main."
"GRM_AltManagement.lua","138","GRM.GetPlayerMain ( string )","Returns the full player of the toon's main, or himself if he is main, or an empty string if no main.","Useful lookup for many purposes..."
"GRM_AltManagement.lua","155","GRM.GetFormattedMainName ( string )","Returns the main name of the given alt from the alt grouping, or returns """" if none is established for the given player.","To have a cleaner, simpler way of obtaining the main name."
"GRM_AltManagement.lua","187","GRM.IsMain ( string )","Returns true if the given player is listed as a Main","Easy lookup code for mains."
"GRM_AltManagement.lua","202","GRM.IsFormerMemberMain ( playerTable )","Returns true if the former member was a main at the time he left the guild","Particularly useful with the GroupInfo module."
"GRM_AltManagement.lua","212","GRM.IsFormerMemberAnAlt( playerTable )","Returns true if the player was an alt previously.","Useful in exporting data to know if they were alt/main previously in guild"
"GRM_AltManagement.lua","231","GRM.GetAltGroup ( string )","Returns the alt Group from the DB based on the alt Group ID, or nil if it doesn't exit.","Easy DB call to get the alt Group."
"GRM_AltManagement.lua","243","GRM.CreateAltGroup ( string , boo , int )","Creates a new altGroup and sets the given time of creation","Necessary to create a new alt group on occasion."
"GRM_AltManagement.lua","298","GRM.AddAlt ( string, string , int )","Adds a player to the alt grouping","Alt group management."
"GRM_AltManagement.lua","436","GRM.RemoveAltGroup ( string , int )","Removes the altGroup completely, as well as removes main designation","Alt managemenet controls."
"GRM_AltManagement.lua","459","GRM.IsPlayerInAltGroup ( string , string )","Returns true or false if player is in an alt group. This includes returning true if player is in their own group as main","Cleaner reusable code."
"GRM_AltManagement.lua","477","GRM.CreateNewAltGroupID ( string )","Creates a new unique identifier","For managing the alt groups."
"GRM_AltManagement.lua","495","GRM.GetNumAltGroups ( [,string] )","Return the count of the number of alt groups in the guild","To determine which unique identifier to give the alt group."
"GRM_AltManagement.lua","502","GRM.GetAltNamesList ( playerTable )","Returns all of the player alts if there are any","Allow to obtain just the list of alts without any other data"
"GRM_AltManagement.lua","520","GRM.GetListOfAlts ( playerTable , bool , table )","Returns the list of all of the alts from the alt Grouping, not including the player's own self, as well as their class Name","Useful to UI function easy lookup"
"GRM_AltManagement.lua","552","GRM.GetListOfAltsLowerRankThanMyself ( playerTable )","Returns the list of alts who are capable of being kicked","To easily mass kick an list of alts."
"GRM_AltManagement.lua","576","GRM.PlayerIsAnAlt ( playerTable )","Returns true if the given player is considered an ""alt"" not a main, or no designation","To inform if the player is an alt more easily."
"GRM_AltManagement.lua","591","GRM.PlayerHasAlts ( playerTable )","Returns true if the player has alts","Cleaner code. Easier to call this."
"GRM_AltManagement.lua","605","GRM.LeftPlayerHasAlts ( playerTable )","Checks if the player had alts at the time they left the guild","Useful to check before doing a lot of computational work, and since the altGroup no longer applies upon leaving the guild, a record of their alts when in the guild is stored..."
"GRM_AltManagement.lua","618","GRM.GetNumAlts ( string )","Returns the number of alts a player has","Useful to know to save time on parsing through tables needlessly."
"GRM_AltManagement.lua","632","GRM.AddPlayerToAltGroup ( string , string , int , bool , bool )","Adds the given player to the alt group based on the altGroupID, the playerName,","Sub-level function for the main AddAlt function"
"GRM_AltManagement.lua","698","GRM.RemovePlayerFromAltGroup ( string , int , bool , bool . bool , bool )","Removes a player from the alt group, and if it is a main, creates their own new alt group","Controls to add and remove alts."
"GRM_AltManagement.lua","776","timeModified ( int )","Returns the epoch timestamp of the most recent alt group change.","Easily unify the timestamp."
"GRM_AltManagement.lua","789","GRM.IsAnyAltActive ( table , int)","Returns true if at least one of the alts is active","No need to announce inactive return if it is just an old alt..."
"GRM_AltManagement.lua","810","GRM.IsAnyAltActiveForRecommendKicks ( table , rule  )","Returns true if at least one of the alts is active","No need to announce inactive return if it is just an old alt..."
"GRM_AltManagement.lua","847","GRM.AddRejoinToAltGroup ( playerTable , bool )","Using the stored player information when someone leaves the guild, it checks their alt group and adds them back to it.","One less thing to do manually if you jokingly kick someone or someone returns."
"GRM_AltManagement.lua","877","GRM.AddPlayerToOwnAltList()","For the first time a player logs on that toon, or joins a guild with that toon, it adds them to their own alt list.","For easy alt management. AUTO adds alt info for a guild :D"
"GRM_AltManagement.lua","941","GRM.CheckIfNeedToAddAlt()","Lets you know if the player is already on the list of alts, and returns the position of the guild in the table as well.","For alt auto-tagging for the addon."
"GRM_AltManagement.lua","953","GRM.ChangePlayerNameInAltGrouping ( string , string )","Changes the alt grouping listing of the player's name that needs to be changed as they were detected as a namechange in the guild.","Clenaup all places where the player's name was different if they namechange, for continuity's sake and not needing to build a new profile for them."
"GRM_AltManagement.lua","984","GRM.GetAltWithOldestJoinDate ( string )","Returns the name of the player with the oldest join date in his grouping of main/alts","When syncing join dates among a grouping of alts, it would be nice to have an option to sync to the oldest join date."
"GRM_AltManagement.lua","1020","GRM.SyncJoinDatesOnAllAlts()","Tales the player name and makes ALL of their alts share the same timestamp on joining.","Ease for the addon user to be able to sync the join dates among all alts rather than have to manually do them 1 at a time.6"
"GRM_AltManagement.lua","1110","GRM.SyncJoinDateUsingEarliest()","Syncs the join date of the grouping of alts to all be the same as the alt with the earliest join date","For join date syncing and time-saving for the player"
"GRM_AltManagement.lua","1117","GRM.SyncJoinDateUsingMain()","Syncs the join date of the grouping of alts to all be the same as the alt with the player's main","For join date syncing and time-saving for the player"
"GRM_AltManagement.lua","1124","GRM.SyncJoinDateUsingCurrentSelected()","Syncs the join date of the grouping of alts to all be the same as the alt with the currently selected player on the roster","For join date syncing and time-saving for the player"
"GRM_AltManagement.lua","1131","GRM.IsAltJoinDatesSynced( string )","Returns true if the player has already sync'd all of the alt data.","Quality of Life... no need to ask the player to sync alt data if already sync'd"
"GRM_AltManagement.lua","1165","GRM.PlayerOrAltHasJD ( string )","Returns true if the player or any of his alts has the join date set... unknown counts as NOT set","On the mouseover of the join date, it would not be useful to give the option to sync join dates if not at least 1 alt in the group has the JD set"
"GRM_AltManagement.lua","1200","GRM.PopulateAltFrames( string )","This generates the alt frames in the main addon metadata detail frame","Clean formatting of the alt frames."
"GRM_AltManagement.lua","1418","GRM.GetSortedAltNamesWithDetails ( string )","Returns the alt grouping of the player, with their own name, the player details, as well as main sorted as index 1.","Mainly for use with the alt groupings window on mouseover of the player alts on core popup window."
"GRM_AltManagement.lua","1541","GRM.GetAltTag ( int )","Returns the hex value/colored string with the alt or main tag","For taggin the autocomplete names to make it easier to see who is and isn't and alt/main"
"GRM_AltManagement.lua","1553","GRM.AddAltAutoComplete()","Takes the entire list of guildies, then sorts them as player types to be added to alts list","Eliminates the possibility of a person entering a fake name of a player no longer in the guild."
"GRM_AltManagement.lua","1631","GRM.KickAllAlts ( string , list , string , int )","Bans all listed alts of the player as well and adds them to the ban list. Of note, addons cannot kick players anymore, so this only adds to ban list.","QoL. Option to ban players' alts as well if they are getting banned."
